sentence1,sentence2,label
直接寻址的寻址方式,2．	直接寻址,0
直接寻址的寻址方式,寻址方式：可以支持的寻址方式；,0
直接寻址的寻址方式,图5-3 直接寻址方式,0
直接寻址的寻址方式,总之指令的寻址方式主要可以分为：顺序寻址方式和跳跃寻址方式。,0
直接寻址的寻址方式,（2）支持直接寻址、寄存器寻址和相对寻址三种寻址方式，相对寻址范围（-128--- +127）；,0
直接寻址的寻址方式,间接寻址（Indirect Addressing）方式可以弥补直接寻址方式中寻址范围受限的缺点，将寻址受限范围由地址段的长度扩展到存储字长。,0
直接寻址的寻址方式,I=1为间接寻址方式，I=0为直接寻址方式；M为寻址模式：0为绝对地址，1为基地址寻址，2为相对寻址，3为立即寻址；X为变址寻址。,0
直接寻址的寻址方式,直接寻址（Direct Addressing）方式中指的是指令的地址字段内A=EA无须进行任何映射或转换，可以直接根据该地址寻找到所要访问的数据。,0
直接寻址的寻址方式,寄存器寻址方式类似于直接寻址，只不过地址段内保存的不是主存地址而是寄存器地址了。,0
直接寻址的寻址方式,（2）	绝对寻址（直接寻址）   E ＝A,0
立即数寻址的寻址方式,立即数。,0
立即数寻址的寻址方式,1．	立即数寻址,0
立即数寻址的寻址方式,3.	立即数范围受限,0
立即数寻址的寻址方式,寻址方式：可以支持的寻址方式；,0
立即数寻址的寻址方式,但是立即数的数值范围受到指令字长的限制。,0
立即数寻址的寻址方式,总之指令的寻址方式主要可以分为：顺序寻址方式和跳跃寻址方式。,0
立即数寻址的寻址方式,但是如同立即数寻址一样，能访问的存储器范围要受到指令字长的限制。,0
立即数寻址的寻址方式,I=1为间接寻址方式，I=0为直接寻址方式；M为寻址模式：0为绝对地址，1为基地址寻址，2为相对寻址，3为立即寻址；X为变址寻址。,0
立即数寻址的寻址方式,操作码	Mod/rm	Scale index	偏移量	立即数,0
立即数寻址的寻址方式,立即寻址（Immediate Addressing）的特点是操作数本身设在指令字内，即形式地址A不是所需数据的地址，而是就是数据本身，又称之为立即数。,0
寄存器寻址的寻址方式,寻址方式：可以支持的寻址方式；,0
寄存器寻址的寻址方式,总之指令的寻址方式主要可以分为：顺序寻址方式和跳跃寻址方式。,0
寄存器寻址的寻址方式,（2）支持直接寻址、寄存器寻址和相对寻址三种寻址方式，相对寻址范围（-128--- +127）；,0
寄存器寻址的寻址方式,4．	寄存器寻址,0
寄存器寻址的寻址方式,图5-5 寄存器寻址方式,0
寄存器寻址的寻址方式,图5-6 寄存器间接寻址方式,0
寄存器寻址的寻址方式,5．	寄存器间接寻址,0
寄存器寻址的寻址方式,I=1为间接寻址方式，I=0为直接寻址方式；M为寻址模式：0为绝对地址，1为基地址寻址，2为相对寻址，3为立即寻址；X为变址寻址。,0
寄存器寻址的寻址方式,寄存器寻址方式类似于直接寻址，只不过地址段内保存的不是主存地址而是寄存器地址了。,0
寄存器寻址的寻址方式,变址寻址	以变址寄存器中的地址为基准，进行相对基准位置移动寻址的方式	用于寻址存储器数组中的元素,0
